English,Hindi,Gondi
The seed of tolerance has been deeply planted in the soil of India.,भारत की मिट्टी में सहनशीलता का बीज गहराई तक रोपा गया है।,भारत ता तोडि़य दे सहे मायना ता विजा लोप्‍पा एवनाह उर्सले आता।
Indian airports are safe for passengers.,भारतीय हवाई अड्डा यात्रियों के लिए सुरक्षित है,भारत ता हवाई अड्डा हनवालोरा वायवालोरा काजे सुरक्षित मंता ।
"Just by saying Rani, one gets to know that there is a place in the middle of the village of Mati Mata, who is respected like a queen.","रानी कहने से ही पता चल जाता है कि गाँव के बीच एक स्थान माटी माता का है, जो रानी के जैसे सम्मानित है","रानी इतेके पुनह आन्ता नार्र त नडुम उन्द जगा तोड़यी अवाल और, अगा रानी न लेटका सम्मान आन्ता"
I would like to congratulate our scientists and technicians for this great achievement.,मैं अपने वैज्ञानिकों और तकनीशियनों को इस महान उपलब्धि के लिए बधाई देना चाहता हूँ।,नना आपुना वैज्ञानिक लोर अन तकनीशियनलोर कुन इद महान उपलब्धि कीतोर ताना हेननक बधाई हियांतोना।
The social system in the Indus Valley was very well organized.,सिंधु घाटी में सामाजिक व्यवस्था बहुत सुव्यवस्थित थी,सिन्धु घाटी ने कुटूम्ब ता बेवस्था कुबैय संगने मीलेमास कीतुर।
My disabled people are not being empowered.,मेरे दिव्‍यांगजनों को सामर्थ्‍यवा र्थ्‍य न बना रहे हैं।,मावोर आंदांग कोड़िया लोर कुन बूतो किया पर्रनाह्क पंडायतोरटो।
Were we wearing shoes?,क्या हम जूते पहन रहे थे?,ब ? माट बूटक केर्रसोर मंदोम।
I respect them.,"उनका सम्मान करता हूँ,","ओरा मान-गुन कियातोना,"
At night the stars were shining.,रात को तारे चमक रहे थे।,नुलपे मिड़कौग मंजदूग।
A library is on a water ship.,पानी जहाज पर पुस्तकालय होता है।,एर्र जिहाज ते कागेतींग डेरा मन्‍ता।
The ponds of India have a shadow of peace.,भारत के तालाबों में शांति की छाया होती है।,भारत तंग तड़य सुगुम ता दड़य आयता।
The water may have caused the cancellation of the drought management recruitment.,पानी के कारण सूखा प्रबंधन भर्ती रद्द हो गई होगी।,पिर्र दा मारे नेल वत्तन्ना तुन साबुत कियन्ना ता नौकरी ते निहन्ना अटके मात होही।
"Keerthi G. writes from Madurai that many of her foreign friends,","मदुरै से कीर्ति जी लिखती हैं, कि उनके कई विदेशी दोस्त,",मदुरै ता कीर्ति कोटटये ता कि तान्नक कयो विदेशी गोतियालोरिट
"Am I not the string of ties, yet the strongest bond?","मैं रिश्तों की डोर नहीं, फिर भी सबसे मजबूत बंधन हूँ?","नन्‍ना नता न डोर आयोन, मति गला सबले मजगुत गट्ट आँदन ?"
"The world is closely watching the reforms we are making one after another, one after another.","हम एक के बाद एक, एक से जुड़े हुए जो Reforms कर रहे हैं, उसे दुनिया बहुत बारीकी से",माक वर्रोना पर्रेक कर्रोड़-कर्रोड तह जुड़े मालोर त्मवितउ कियान्तोर अदे बूम ते कुबेय परेक कियान्तोर
Folk singers of India are the bearers of emotions.,भारत के लोकगायक भावनाओं के वाहक होते हैं।,भारत तोर मानेयक पाटंग ओयवल बिचारिंनुंग ओयवलोर आयतोर।
I'd be loving the weather in the morning.,मैं सुबह का मौसम पसंद कर रहा होऊँगा।,नन्ना नर्रकीय पहर ता पाग बिचर कीसोर मन्दाका होही ।
Is she cooking fish?,क्या वह मछली पका रही है?,बाता द मीन्क अटयता
I would urge all my young friends to join this campaign.,मैं अपने सभी युवा साथियों को कहूँगा इस अभियान से जरूर जुड़ें।,नन्ना आपुना सप्पोय युवा गोतियालोरिट कुन इंदाका इद्द अभियान तह कचित मीले माक्ट।
The partition of India took place in 1947.,भारत का विभाजन 1947 में हुआ,भारत त बटवाड़ा 1947 ते आत।
Workers will be building bridges.,मजदूर पुल बना रहे होंगे।,कमेयल लोर पूल पंडसोर मन्दानुर होही।
"Mathematics, science, social science, and languages are taught in schools.",विद्यालयों में गणितए विज्ञानए सामाजिक विज्ञान और भाषाएँ पढ़ाई जाती हैं,"इस्कुहने गणित, विज्ञान, सामाजिक  विज्ञान अन पोल्लो नंग टप्पिंग पड़हेह कियना आयता।"
The water must have flooded.,पानी में बाढ़ आ गई होगी।,पिर्र दे उसा वात होही।
The British rule gave rise to the issues of migration of population.,अंग्रेजशासन ने जनसंख्या के प्रवास के मुद्दों को जन्म दिया,अंग्रेज सरकार जनसंख्या ता प्रवास तंग पोल्लोनूंग जनुम हीत।
Theft,चोरी,चोरी कियाना
"In India, the earthen lamp is considered a symbol of knowledge.",भारत में मिट्टी का दीप ज्ञान का प्रतीक माना जाता है।,भारत ते तोड़िय  ता दीप ज्ञान ता प्रतीक माने मायना आयता।
I urge you to visit these museums of your country whenever you get a chance.,"मेरा आपसे आग्रह है कि आपको जब भी मौका मिले, अपने देश के इन Museums को देखने जरुर जाएँ",नावा मीकुन बिनती किययतोना मीकुन बस्कैय वने मोका पुटतेक आपुना देशतंग इव कुन हूड़ला कच्चित दायना।
"I had the opportunity to visit the place, it is a kind of pilgrimage place, there are ancient temples etc. I was very impressed to see how people must have worked centuries ago.","मुझे उस स्थान पर जाने का अवसर मिला, यह एक प्रकार का तीर्थ स्थान है, यहां प्राचीन मंदिर आदि हैं। मैं यह देखकर बहुत प्रभावित हुआ कि सदियों पहले लोग किस प्रकार काम करते होंगे।",मोका पुट्टस मता इद उन्द प्रकार ता हुड़नह लेहका डेरा मन्द अगा पुड़ानंग मंदिर नना कुबैय प्रभावित आतन मूने बेरा बदाम मानेयक काम कीतूर होही
One gets to experience the culture while walking on the streets of India.,भारत की सड़कों पर चलते हुए भी संस्कृति का अनुभव होता है।,भारत ता सड़ेग ते ताकसोर गला बाना - बानिंग ते मुन्‍ने तहले पुंदले आयता।
Indian Railways train stations have waiting rooms and retiring rooms.,भारतीय रेलवे के ट्रेन स्टेशनों पर वेटिंग रूम और रिटायरिंग रूम होते हैं,"भारतीय रेलवे ता टेªन स्टेशन्क ते केपाना कोली अन्, रिटायरिंग कोली गला मन्तांग ।"
"The fruits obtained from the forest are leopard, mango, jamun, jamun, char dummar, etc.","जंगल से प्राप्त होने वाले फल तेंदु, आमख्, जाम, जामुन,चार डूमर आदि है।","कोटुम ते पुटन्नंग पंडिंग तुमरिंग, मर्रकंग, नेंडिंग, रैकंग, टाडोंग, हूरेंग, जामिंग आदूंग।"
"7. The early period in which the form of our Constitution was decided,","7. जिस शुरुआती दौर में, हमारे संविधान का स्वरुप तय किया गया,",अद मुन्नो दौरते मावा संविधान ता रूप -रेखा तुन तय कीतुर
She was terrified of the sword of triple talaq.,ट्रिपल तलाक की तलवार से डरी-सहमी रहती थीं।,मुंड बेरांग तासाना त तलवार तुन वरियस झिझके मास मतांग।
The woman of India is the first torch of change.,भारत की नारी परिवर्तन की पहली मशाल होती है।,भारत ता मुयतड़ बदलेह कियाना ता मूड़ ता डिया आयता।
"In the worship of India, the flower petal also symbolizes bhava.",भारत की पूजा में फूल की पंखुड़ी भी भाव का प्रतीक होती है।,भारत ता सेवा ते पुंगह ना आकींग गला दाम ता सीना आयता।
was for favourable governance.,अनुकूल शासन के लिए था।,अनुकुल शासन ता बाटा मत्ता।
You will always be telling the truth.,आप हमेशा सच बोल रहे होंगे।,निम्मा जरमे सत् इंदसोर मतोन होही।
It should be the endeavour of all of us to use only Indian handlooms and handicrafts as much as possible.,हम सभी का प्रयास होना चाहिए कि हम यथासंभव केवल भारतीय हथकरघा और हस्तशिल्प का ही उपयोग करें।,मावा सब जनना कोशित आयना आद कि सिरिप भारतीय कैयदे पण्डाना अन कारीगरी ता जादा से जादा उपयोग आई।
I didn't keep many secrets in my life.,मैंने अपने जीवन में बहुत रहस्य नहीं रखे।,नन्ना नावा जिलंगी ते कुबैय मकिहले हुड़ोने।
"Two Delhi-based daughters, Sagarika and Preksha, have also experimented with cashless day outs in a similar way.",दिल्ली की दो बेटियों सागरिका और प्रेक्षा ने भी कुछ इसी तरह कैशलेस डे आउट का प्रयोग किया,दिल्ली ता रेन्ड मियाड़ाक सागरिका अन प्रेक्षा अदामे ही ता कियानतोर
Strong winds can uproot trees.,तेज़ हवाएँ पेड़ों को उखाड़ सकती हैं,दुका वड़िय मर्रक कुन गला तेहक पर्रयता ।
"Somebody called my sister, somebody called my mother, somebody called my aunt, they respected my mother.","कोई माई दीदी, कोई मामी, काकी बोल माँ को मान देते थे","बददे बेहा दीदी, बद्‌‌दे आतो, काकी इंज यान सम्मान कीन्दूर"
The spirit of regional diversity speaks in the dialect of India.,भारत की बोली में क्षेत्रीय विविधता की आत्मा बोलती है।,भारत ता बोली-बासा ते वेगरोग-वेगरोह पल्‍ला न जीवा इनता।
"I am not afraid of light, yet I am afraid of darkness - tell me what am I?","मैं प्रकाश नहीं, फिर भी अंधेरे से डरता हूँ — बताओ मैं क्या हूँ?","नन्‍ना वेग आयोन, मति गला हीकट ते वर्रयतोना- वेहहट नना बोर आन्‍दन?"
I will always listen to you.,मैं हमेशा आपकी बात सुनूँगा।,ननबा जरमे निया पोल्लो केनजका।
We are working towards reaching it to every panchayat and the remaining one lakh panchayats are also working on it.,हम इसे हर पंचायत तक पहुंचाने के लक्य पर काम कर रहे हैं और बाकी एक लाख पंचायतों में भी ये काम चल रहा है।,माट इदेक सपय पंचायतीने अविहला काम कियांतोरोम अन पिसलेंग उंद लाख पंचायतीने गला इद काम चले मायता।
The mother had bought cloves for Didi from the market.,माँ ने दीदी के लिए बाजार से लौंगफूल खरीदी थी।,यायाल दीदी ना बाटा हाट तह लौंगफूली एस्स मत्ता
"Friends,","दोस्त,",गोतियालोर
